kind	address	name	ghidra_type	array_size	description
MEAS	0x00404258	VaOXYF_b_SlewActive[CiOXYR_O2_Bank2_Sensor2]	byte	1	VaOXYF_b_SlewActive[CiOXYR_O2_Bank2_Sensor2]
MEAS	0x00404259	VaOXYF_b_SlewActive[CiOXYR_O2_Bank2_Sensor3]	byte	1	VaOXYF_b_SlewActive[CiOXYR_O2_Bank2_Sensor3]
MEAS	0x0040425A	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank1_Sensor1]	word	1	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank1_Sensor1]
MEAS	0x0040425C	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank1_Sensor2]	word	1	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank1_Sensor2]
MEAS	0x0040425E	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank1_Sensor3]	word	1	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank1_Sensor3]
MEAS	0x00404260	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank2_Sensor1]	word	1	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank2_Sensor1]
MEAS	0x00404262	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank2_Sensor2]	word	1	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank2_Sensor2]
MEAS	0x00404264	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank2_Sensor3]	word	1	VaOXYF_DC_O2_HtrInstSlew[CiOXYR_O2_Bank2_Sensor3]
MEAS	0x00404266	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank1_Sensor1]	word	1	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank1_Sensor1]
MEAS	0x00404268	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank1_Sensor2]	word	1	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank1_Sensor2]
MEAS	0x0040426A	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank1_Sensor3]	word	1	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank1_Sensor3]
MEAS	0x0040426C	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank2_Sensor1]	word	1	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank2_Sensor1]
MEAS	0x0040426E	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank2_Sensor2]	word	1	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank2_Sensor2]
MEAS	0x00404270	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank2_Sensor3]	word	1	VaOXYI_I_O2_SnsrHeater[CiOXYR_O2_Bank2_Sensor3]
MEAS	0x00404272	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank1_Sensor1]	word	1	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank1_Sensor1]
MEAS	0x00404274	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank1_Sensor2]	word	1	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank1_Sensor2]
MEAS	0x00404276	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank1_Sensor3]	word	1	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank1_Sensor3]
MEAS	0x00404278	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank2_Sensor1]	word	1	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank2_Sensor1]
MEAS	0x0040427A	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank2_Sensor2]	word	1	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank2_Sensor2]
MEAS	0x0040427C	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank2_Sensor3]	word	1	VaOXYI_U_O2_SnsrHeaterVolt[CiOXYR_O2_Bank2_Sensor3]
MEAS	0x00404280	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank1_Sensor1]	byte	1	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank1_Sensor1]
MEAS	0x00404281	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank1_Sensor2]	byte	1	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank1_Sensor2]
MEAS	0x00404282	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank1_Sensor3]	byte	1	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank1_Sensor3]
MEAS	0x00404283	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank2_Sensor1]	byte	1	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank2_Sensor1]
MEAS	0x00404284	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank2_Sensor2]	byte	1	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank2_Sensor2]
MEAS	0x00404285	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank2_Sensor3]	byte	1	VaOXYO_y_O2_SnsrHtrN_State[CiOXYR_O2_Bank2_Sensor3]
MEAS	0x00404286	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank1_Sensor1]	word	1	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank1_Sensor1]
MEAS	0x00404288	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank1_Sensor2]	word	1	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank1_Sensor2]
MEAS	0x0040428A	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank1_Sensor3]	word	1	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank1_Sensor3]
MEAS	0x0040428C	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank2_Sensor1]	word	1	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank2_Sensor1]
MEAS	0x0040428E	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank2_Sensor2]	word	1	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank2_Sensor2]
MEAS	0x00404290	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank2_Sensor3]	word	1	VaOXYO_DC_O2_Heater[CiOXYR_O2_Bank2_Sensor3]
MEAS	0x00404292	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank1_Sensor1]	sword	1	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank1_Sensor1]
MEAS	0x00404294	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank1_Sensor2]	sword	1	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank1_Sensor2]
MEAS	0x00404296	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank1_Sensor3]	sword	1	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank1_Sensor3]
MEAS	0x00404298	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank2_Sensor1]	sword	1	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank2_Sensor1]
